"Record ID","Deal Name","Project ID","Tier 1 (Reseller)","Tier 2 (Reseller Sales Org)","AADT (site)","Deal Stage","State (install site)","Country (install site)","Latitude/Longitude (install site)","Postal Code (install site)"
"16897887253","Boulder Creek Communications LLC - 1500 High Ridge Rd","","Apex Omnisource","RevStream","229000","1. Qualifications","FL","USA","26.540366927098408, -80.0737854630633","33426"
"16897887117","Boulder Creek Communications LLC - 1802 4th Ave N","","Apex Omnisource","RevStream","233000","1. Qualifications","FL","USA","26.6187398279952, -80.06870107379311","33461"
"16897801639","Boulder Creek Communications LLC - 619 Cassat Ave","","Apex Omnisource","RevStream","153000","1. Qualifications","FL","USA","30.316650042677452, -81.73007021680391","32205"
"16897801582","Boulder Creek Communications LLC - 1515 Washington St","","Apex Omnisource","RevStream","63000","3. Contracts & Committments","OH","USA","41.65187313855158, -83.54878658844918","43604"
"16897801510","Boulder Creek Communications LLC - 3345 Jeep Pkwy","","Apex Omnisource","RevStream","83000","3. Contracts & Committments","OH","USA","41.684002995312454, -83.56745494453007","43610"
"16897886805","Boulder Creek Communications LLC - 302 N Monroe St","","Apex Omnisource","RevStream","70000","3. Contracts & Committments","FL","USA","30.44489051767478, -84.28102142395628","32301"
"16897801329","Boulder Creek Communications LLC - 813 Memorial Pkwy NW","","Apex Omnisource","RevStream","109000","3. Contracts & Committments","AL","USA","34.73806896906941, -86.60000284855955","35816"
"16897801251","Boulder Creek Communications LLC - 3551 Memorial Pkwy SW","","Apex Omnisource","RevStream","101000","3. Contracts & Committments","AL","USA","34.695286478456, -86.58247187521849","35801"
"16897801124","Boulder Creek Communications LLC - 7238 Governors W","","Apex Omnisource","RevStream","118000","3. Contracts & Committments","AL","USA","34.70265030934164, -86.68861741276417","35806"
"16897886470","Boulder Creek Communications LLC - 15849 Manchester Rd","","Apex Omnisource","RevStream","45000","1. Qualifications","MO","USA","38.59295270514832, -90.58542793189939","63011"
"16896707852","Boulder Creek Communications LLC - 10904 Baltimore St NE","","Apex Omnisource","RevStream","62000","3. Contracts & Committments","MN","USA","45.16870379896824, -93.23371168359716","55449"
"16896633702","Boulder Creek Communications LLC - 2701 Fairoak Ave","","Apex Omnisource","RevStream","59000","3. Contracts & Committments","MN","USA","45.208337138083145, -93.40553679844358","55303"
"16896707618","Boulder Creek Communications LLC - 3601 Federal Hwy","","Apex Omnisource","RevStream","182000","1. Qualifications","FL","USA","25.8107803717544, -80.19062962052999","33137"
"16896633493","Boulder Creek Communications LLC - 6867 Cleto Rodriguez Fwy","","Apex Omnisource","RevStream","97000","3. Contracts & Committments","TX","USA","29.403250250185515, -98.62808058760272","78227"
"16896633414","Boulder Creek Communications LLC - 2400 Austins Pkwy","","Apex Omnisource","RevStream","84000","3. Contracts & Committments","MI","USA","42.99112516700132, -83.74008715615044","48507"
"16896597009","Boulder Creek Communications LLC - 25 US-1","","Apex Omnisource","RevStream","95000","3. Contracts & Committments","NJ","USA","40.48554091244585, -74.41671408448212","08901"
"16896633162","Boulder Creek Communications LLC - 9393 Wayzata Blvd","","Apex Omnisource","RevStream","135000","1. Qualifications","MN","USA","44.97251563910687, -93.3978454988363","55426"
"16896633094","Boulder Creek Communications LLC - 20254 Rte 19","","Apex Omnisource","RevStream","33000","3. Contracts & Committments","PA","USA","40.68862705649205, -80.10184637959382","16066"
"16896596572","Boulder Creek Communications LLC - 543 Indiana Ave","","Apex Omnisource","RevStream","52000","3. Contracts & Committments","IN","USA","39.775562109447264, -86.16643823359666","46202"
"16896596383","Boulder Creek Communications LLC - 1200 N Meridian St","","Apex Omnisource","RevStream","168000","3. Contracts & Committments","IN","USA","39.783539573755284, -86.15791318321193","46204"
"16896596288","Boulder Creek Communications LLC - 46 Paris St","","Apex Omnisource","RevStream","118000","3. Contracts & Committments","NJ","USA","40.72224529290423, -74.14623179153845","07105"
"16896596095","Boulder Creek Communications LLC - 1919 US-9 Truck","","Apex Omnisource","RevStream","67000","3. Contracts & Committments","NJ","USA","40.73025768142934, -74.10836619457103","07032"
"16896632393","Boulder Creek Communications LLC - 368 Duncan Ave","","Apex Omnisource","RevStream","34000","3. Contracts & Committments","NJ","USA","40.73085630897164, -74.08532767139546","07306"
"16896595858","Boulder Creek Communications LLC - 130 Broad Ave","","Apex Omnisource","RevStream","35000","3. Contracts & Committments","NJ","USA","40.81795115268723, -74.00754595324673","07022"
"16896595773","Boulder Creek Communications LLC - 585 Broad Ave","","Apex Omnisource","RevStream","38000","3. Contracts & Committments","NJ","USA","40.83372468690352, -74.01023758086725","07657"
"16896595607","Boulder Creek Communications LLC - 25 Broad Ave","","Apex Omnisource","RevStream","82000","3. Contracts & Committments","NJ","USA","40.842895317591264, -74.00176812583688","07650"
"16896595525","Boulder Creek Communications LLC - 9034 Tonnele Ave","","Apex Omnisource","RevStream","29000","1. Qualifications","NJ","USA","40.81342289256472, -74.010498631917","07047"
"16896595332","Boulder Creek Communications LLC - 1015 Tonnele Ave","","Apex Omnisource","RevStream","67000","1. Qualifications","NJ","USA","40.76314033590198, -74.04927982642451","07047"
"16896595241","Boulder Creek Communications LLC - 458 Tonnele Ave","","Apex Omnisource","RevStream","67000","1. Qualifications","NJ","USA","40.7467214498475, -74.06164847479967","07307"
